event_id,timestamp,site_id,peer_ip,peer_asn,event_type,prefix,prefixes_affected,hold_time_sec,severity,note
BGP-00092,2026-06-24T00:30:00,branch-lucknow,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.142.0/24,1,90,INFO,Normal routing update
BGP-00091,2026-06-24T00:42:00,branch-guwahati,10.0.0.1,65000,UPDATE_RECEIVED,192.168.61.0/24,1,90,INFO,Normal routing update
BGP-00093,2026-06-24T01:10:00,branch-lucknow,10.0.0.1,65000,ROUTE_REFRESH,192.168.51.0/24,1,90,INFO,Normal routing update
BGP-00094,2026-06-24T01:22:00,branch-jaipur,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.121.0/24,1,90,INFO,Normal routing update
BGP-00001,2026-06-24T02:02:02.340448,branch-pune,10.2.11.1,65005,UPDATE_RECEIVED,192.168.22.0/24,4,90,LOW,Routine routing update
BGP-00095,2026-06-24T02:07:00,branch-bhubaneswar,10.0.0.1,65000,UPDATE_RECEIVED,192.168.139.0/24,1,90,INFO,Normal routing update
BGP-00004,2026-06-24T02:37:23.839460,branch-kolkata,10.5.1.1,65007,PREFIX_WITHDRAWN,192.168.37.0/24,4,90,LOW,Routine routing update
BGP-00096,2026-06-24T02:42:00,branch-kolkata,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.96.0/24,1,90,INFO,Normal routing update
BGP-00003,2026-06-24T02:44:17.667272,branch-bhubaneswar,10.9.7.1,65008,PREFIX_ANNOUNCED,192.168.44.0/24,3,90,LOW,Routine routing update
BGP-00097,2026-06-24T02:54:00,branch-kolkata,10.0.0.1,65000,ROUTE_REFRESH,192.168.11.0/24,1,90,INFO,Normal routing update
BGP-00099,2026-06-24T03:11:00,branch-guwahati,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.54.0/24,1,90,INFO,Normal routing update
BGP-00002,2026-06-24T03:11:14.939381,branch-jaipur,10.6.8.1,65011,KEEPALIVE_TIMEOUT,192.168.29.0/24,3,90,LOW,Routine routing update
BGP-00100,2026-06-24T03:48:00,branch-hyderabad,10.0.0.1,65000,ROUTE_REFRESH,192.168.192.0/24,1,90,INFO,Normal routing update
BGP-00098,2026-06-24T03:53:00,branch-lucknow,10.0.0.1,65000,UPDATE_RECEIVED,192.168.15.0/24,1,90,INFO,Normal routing update
